Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah;T07;T13;T18;T_Avg;T_Max;T_Min;Rain;Sun;Pressure;RH07;RH13;RH18;RH_Avg;WS_Avg;WD_Most;WS_Max;WD_Max;Tanggal_DT
;2015;3;16;;;;;;;;;;;;;;;;;;;25.6;31.2;29.9;27.62083333;32.3;24.0;45.6;81.25;1012.9;0.0;0.0;0.0;82.31577081;7.5;0.0;12.0;160.0;2015-03-16
;2015;3;17;;;;;;;;;;;;;;;;;;;25.5;31.2;29.4;27.6875;32.2;24.3;27.5;100.0;1011.6;0.0;0.0;0.0;82.30250432;5.0;0.0;8.0;100.0;2015-03-17
;2015;3;18;;;;;;;;;;;;;;;;;;;26.2;31.3;24.4;26.95;31.7;24.7;59.0;83.75;1010.3;0.0;0.0;0.0;86.78892137;7.5;0.0;13.0;250.0;2015-03-18
;2015;3;19;;;;;;;;;;;;;;;;;;;24.6;30.4;29.4;28.37;31.6;23.9;55.3;41.25;1011.5;0.0;0.0;0.0;78.0798898;5.0;0.0;8.0;100.0;2015-03-19
;2015;3;20;;;;;;;;;;;;;;;;;;;26.6;32.2;29.8;28.20416667;32.3;24.0;0.2;58.75;1012.1;0.0;0.0;0.0;80.21980715;5.5;0.0;9.0;70.0;2015-03-20
;2015;3;21;;;;;;;;;;;;;;;;;;;25.5;31.7;29.5;28.52916667;32.2;24.3;58.6;57.5;1011.7;0.0;0.0;0.0;79.80726369;5.0;0.0;8.0;90.0;2015-03-21
;2015;3;22;;;;;;;;;;;;;;;;;;;26.0;31.8;29.6;27.87083333;32.3;25.1;0.8;66.25;1012.1;0.0;0.0;0.0;81.61707632;6.0;0.0;10.0;250.0;2015-03-22
;2015;3;23;;;;;;;;;;;;;;;;;;;25.7;31.4;29.5;28.3375;31.8;25.0;1.2;41.25;1011.7;0.0;0.0;0.0;81.35035674;5.0;0.0;8.0;70.0;2015-03-23
;2015;3;24;;;;;;;;;;;;;;;;;;;26.8;32.2;30.3;29.10416667;32.8;25.0;0.0;75.0;1011.6;0.0;0.0;0.0;77.24317018;6.0;0.0;10.0;90.0;2015-03-24
;2015;3;25;;;;;;;;;;;;;;;;;;;26.2;32.3;27.8;27.84166667;32.4;25.8;0.2;70.0;1011.8;0.0;0.0;0.0;82.72088825;8.5;0.0;15.0;301.0;2015-03-25
;2015;3;26;;;;;;;;;;;;;;;;;;;26.5;32.3;27.2;28.64583333;32.8;25.2;0.6;100.0;1013.0;0.0;0.0;0.0;81.06456858;6.0;0.0;10.0;130.0;2015-03-26
;2015;3;27;;;;;;;;;;;;;;;;;;;26.7;32.4;30.5;29.32083333;32.4;23.9;13.7;95.0;1013.0;0.0;0.0;0.0;79.37686777;5.5;0.0;9.0;120.0;2015-03-27
;2015;3;28;;;;;;;;;;;;;;;;;;;26.6;32.0;30.4;28.63333333;32.6;26.2;0.0;93.75;1011.7;0.0;0.0;0.0;78.16030488;6.5;0.0;10.0;301.0;2015-03-28
;2015;3;29;;;;;;;;;;;;;;;;;;;26.0;32.6;30.4;29.67916667;33.1;25.0;0.0;96.25;1011.0;0.0;0.0;0.0;75.38058503;6.5;0.0;11.0;60.0;2015-03-29
;2015;3;30;;;;;;;;;;;;;;;;;;;27.4;32.6;30.2;29.2;33.0;26.0;0.0;85.0;1010.9;0.0;0.0;0.0;76.64773301;6.0;0.0;10.0;80.0;2015-03-30
;2015;3;31;;;;;;;;;;;;;;;;;;;26.6;32.8;32.0;29.95833333;33.4;25.5;0.0;100.0;1011.2;0.0;0.0;0.0;75.05044731;6.5;0.0;11.0;110.0;2015-03-31
;2015;4;13;;;;;;;;;;;;;;;;;;;25.8;30.1;27.3;27.0;30.8;24.0;5.0;43.75;1012.1;0.0;0.0;0.0;83.64317123;6.0;0.0;10.0;70.0;2015-04-13
;2015;4;14;;;;;;;;;;;;;;;;;;;25.2;31.2;29.3;27.825;32.0;24.8;1.0;78.75;1011.7;0.0;0.0;0.0;80.89012742;10.0;0.0;17.0;130.0;2015-04-14
;2015;4;15;;;;;;;;;;;;;;;;;;;26.1;31.1;28.7;28.67083333;31.5;24.5;46.3;76.25;1010.7;0.0;0.0;0.0;81.23383796;5.0;0.0;8.0;130.0;2015-04-15
;2015;4;16;;;;;;;;;;;;;;;;;;;29.5;30.0;29.2;28.94166667;31.8;26.1;0.8;68.75;1012.4;0.0;0.0;0.0;79.51275292;6.0;0.0;10.0;340.0;2015-04-16
;2015;4;17;;;;;;;;;;;;;;;;;;;27.5;26.6;27.0;27.05416667;31.1;26.4;0.0;41.25;1011.3;0.0;0.0;0.0;87.1300058;5.5;0.0;9.0;130.0;2015-04-17
